customer_id,signup_date,acquisition_channel,city,age
1,2026-02-24,Organic,South Mitchell,19
2,2026-02-24,Google Ads,Fryeville,33
3,2026-02-24,Facebook Ads,Josephshire,26
4,2026-02-24,Organic,Allisonbury,52
5,2026-02-24,Organic,Mcphersonborough,55
6,2026-02-24,Referral,Juanport,20
7,2026-02-24,Organic,Salazarton,23
8,2026-02-24,Facebook Ads,Oliviaberg,32
9,2026-02-24,Organic,New Kyleshire,53
10,2026-02-24,Facebook Ads,Perkinsmouth,59
11,2026-02-24,Referral,Loganmouth,32
12,2026-02-24,Referral,Obrienbury,55
13,2026-02-24,Google Ads,Smithtown,18
14,2026-02-24,Facebook Ads,West Jennifer,45
15,2026-02-24,Google Ads,Joshuaton,35
16,2026-02-24,Facebook Ads,East Thomas,31
17,2026-02-24,Google Ads,Simsshire,24
18,2026-02-24,Organic,New Jeanland,42
19,2026-02-24,Organic,Jonesville,40
20,2026-02-24,Google Ads,North Coryview,56
21,2026-02-24,Google Ads,North Kennethville,20
22,2026-02-24,Referral,Port Kristenstad,52
23,2026-02-24,Organic,South Adam,42
24,2026-02-24,Organic,Thompsontown,53
25,2026-02-24,Google Ads,Richardstad,58
26,2026-02-24,Google Ads,Kristenland,54
27,2026-02-24,Facebook Ads,Johnsonburgh,22
28,2026-02-24,Organic,Melanieton,60
29,2026-02-24,Facebook Ads,Margaretberg,36
30,2026-02-24,Organic,Cassandrastad,32
31,2026-02-24,Organic,Port Danielton,42
32,2026-02-24,Google Ads,North Craigtown,47
33,2026-02-24,Google Ads,East Matthewtown,28
34,2026-02-24,Google Ads,West Jason,40
35,2026-02-24,Facebook Ads,Youngborough,60
36,2026-02-24,Google Ads,Mejiamouth,59
37,2026-02-24,Organic,Morrisbury,56
38,2026-02-24,Facebook Ads,Port Chad,52
39,2026-02-24,Facebook Ads,Lake Nathanbury,28
40,2026-02-24,Referral,Jamestown,42
41,2026-02-24,Google Ads,Brianland,58
42,2026-02-24,Facebook Ads,Pamelaville,38
43,2026-02-24,Organic,Lake Audrey,32
44,2026-02-24,Organic,Lake Jacob,38
45,2026-02-24,Referral,South Tina,35
46,2026-02-24,Organic,Port Erin,31
47,2026-02-24,Google Ads,Port Edwardport,31
48,2026-02-24,Referral,New Jeffreymouth,43
49,2026-02-24,Referral,Howelltown,27
50,2026-02-24,Google Ads,Cervantesstad,26
51,2026-02-24,Facebook Ads,Stoneborough,53
52,2026-02-24,Google Ads,Williamsmouth,55
53,2026-02-24,Referral,East Elizabethmouth,55
54,2026-02-24,Referral,Jodishire,41
55,2026-02-24,Facebook Ads,Stricklandborough,26
56,2026-02-24,Referral,Stonemouth,23
57,2026-02-24,Organic,Franklintown,25
58,2026-02-24,Facebook Ads,South Zachary,58
59,2026-02-24,Facebook Ads,North Marcus,45
60,2026-02-24,Organic,Matthewville,42
61,2026-02-24,Referral,Davisfort,56
62,2026-02-24,Referral,West Thomasmouth,51
63,2026-02-24,Google Ads,Ashleystad,53
64,2026-02-24,Organic,Krystalmouth,25
65,2026-02-24,Google Ads,Stephaniehaven,59
66,2026-02-24,Google Ads,West Jennifer,25
67,2026-02-24,Google Ads,Lake Susan,45
68,2026-02-24,Facebook Ads,Williamsfurt,47
69,2026-02-24,Organic,Martinezberg,34
70,2026-02-24,Facebook Ads,New Katelynberg,50
71,2026-02-24,Organic,Michaelton,58
72,2026-02-24,Google Ads,Wendyland,58
73,2026-02-24,Facebook Ads,Humphreyview,27
74,2026-02-24,Google Ads,Michaelfurt,28
75,2026-02-24,Organic,Reginaberg,56
76,2026-02-24,Google Ads,Laurietown,49
77,2026-02-24,Organic,Merrittview,25
78,2026-02-24,Google Ads,New Jeff,37
79,2026-02-24,Facebook Ads,Lindaland,21
80,2026-02-24,Facebook Ads,Gillburgh,54
81,2026-02-24,Organic,East Maria,23
82,2026-02-24,Referral,Bennetttown,22
83,2026-02-24,Facebook Ads,Barnettside,26
84,2026-02-24,Referral,Lake Kelly,53
85,2026-02-24,Facebook Ads,Thomasview,34
86,2026-02-24,Referral,Johnville,31
87,2026-02-24,Facebook Ads,Christinaborough,37
88,2026-02-24,Referral,Davisfurt,60
89,2026-02-24,Google Ads,East Julie,46
90,2026-02-24,Referral,Jennatown,25
91,2026-02-24,Facebook Ads,Youngshire,32
92,2026-02-24,Organic,Waltersfurt,39
93,2026-02-24,Organic,Sarahshire,55
94,2026-02-24,Facebook Ads,Fordview,55
95,2026-02-24,Facebook Ads,Lake James,18
96,2026-02-24,Organic,New Yvonne,58
97,2026-02-24,Organic,Hansenton,32
98,2026-02-24,Organic,Omarstad,20
99,2026-02-24,Google Ads,Burkeview,22
100,2026-02-24,Facebook Ads,South Nicoleshire,35
101,2026-02-24,Referral,West Michael,31
102,2026-02-24,Facebook Ads,Edwardfort,54
103,2026-02-24,Referral,South Williamside,33
104,2026-02-24,Referral,Smithview,44
105,2026-02-24,Facebook Ads,South Norman,24
106,2026-02-24,Organic,North Bethtown,60
107,2026-02-24,Referral,Sandraview,40
108,2026-02-24,Referral,Lake Laurabury,44
109,2026-02-24,Referral,Bradleychester,21
110,2026-02-24,Organic,Zamoraside,21
111,2026-02-24,Referral,West Kristin,39
112,2026-02-24,Organic,Karenmouth,33
113,2026-02-24,Facebook Ads,Lake Matthew,30
114,2026-02-24,Referral,Lake Michael,26
115,2026-02-24,Referral,Evansbury,29
116,2026-02-24,Google Ads,Matthewhaven,47
117,2026-02-24,Facebook Ads,Lake Derekborough,22
118,2026-02-24,Referral,Crystalville,53
119,2026-02-24,Organic,Meganview,21
120,2026-02-24,Organic,North Rhondabury,23
121,2026-02-24,Facebook Ads,South James,28
122,2026-02-24,Referral,Cuevashaven,49
123,2026-02-24,Referral,North Monica,31
124,2026-02-24,Referral,East Kelseyside,21
125,2026-02-24,Facebook Ads,Melissashire,42
126,2026-02-24,Organic,Scottmouth,42
127,2026-02-24,Google Ads,Latashamouth,47
128,2026-02-24,Google Ads,West Katie,45
129,2026-02-24,Referral,Jesseshire,27
130,2026-02-24,Facebook Ads,West Lindaton,36
131,2026-02-24,Facebook Ads,Elizabethberg,21
132,2026-02-24,Organic,New Anthony,38
