order_item_id,order_id,product_id,quantity,selling_price,discount
1,1,45,1,131.4,14.39
2,2,89,2,59.41,7.79
3,2,84,2,173.75,22.79
4,2,72,1,119.09,15.62
5,3,66,3,102.8,8.45
6,4,34,3,126.16,9.76
7,5,115,1,30.19,2.25
8,6,11,1,32.81,4.19
9,6,90,1,28.9,3.69
10,7,100,2,45.87,5.54
11,7,92,3,100.0,12.07
12,8,90,3,28.9,2.04
13,8,120,2,135.63,9.58
14,9,26,1,74.38,8.26
15,9,43,3,95.34,10.59
16,9,41,2,47.64,5.29
17,10,39,1,57.64,7.39
18,10,92,3,100.0,12.83
19,11,110,2,14.98,1.54
20,11,114,3,126.24,13.01
21,11,11,3,32.81,3.38
22,12,46,1,207.61,24.07
23,13,56,1,120.76,17.73
24,13,49,1,128.99,18.94
25,14,113,2,223.8,19.34
26,14,62,2,188.67,16.3
27,15,37,1,84.19,10.44
28,16,109,2,138.27,8.52
29,16,31,3,178.78,11.01
30,16,42,3,167.38,10.31
31,17,2,1,60.21,7.09
32,18,78,1,99.46,12.31
33,18,45,1,131.4,16.26
34,19,61,3,152.15,21.16
35,20,102,3,121.48,7.73
36,21,36,1,233.82,14.67
37,21,73,2,50.5,3.17
38,21,76,1,134.39,8.43
39,22,70,2,174.54,11.72
40,23,20,3,85.03,9.68
41,24,87,3,36.91,5.01
42,25,65,1,21.88,2.69
43,26,46,3,207.61,28.9
44,27,6,3,145.22,7.9
45,27,40,1,104.18,5.67
46,27,92,2,100.0,5.44
47,28,7,2,103.46,13.43
48,28,22,1,34.6,4.49
49,29,91,1,61.19,7.3
50,30,29,3,172.54,25.86
51,30,46,2,207.61,31.12
52,31,22,2,34.6,3.7
53,32,49,2,128.99,11.68
54,32,50,3,32.56,2.95
55,32,108,3,122.79,11.12
56,33,59,1,80.67,11.24
57,33,94,2,117.99,16.44
58,33,110,2,14.98,2.09
59,34,46,3,207.61,23.1
60,35,48,3,89.05,11.0
61,35,115,2,30.19,3.73
62,35,45,1,131.4,16.24
63,36,34,1,126.16,14.12
64,36,47,3,159.04,17.8
65,37,29,2,172.54,20.87
66,38,8,1,133.99,13.11
67,38,70,3,174.54,17.08
68,38,19,1,105.24,10.3
69,39,24,1,127.8,12.83
70,39,97,1,108.49,10.89
71,40,111,3,117.88,11.81
72,40,90,3,28.9,2.89
73,41,33,3,66.63,6.34
74,41,59,1,80.67,7.68
75,41,78,1,99.46,9.47
