order_id,customer_id,order_date,order_status,payment_method
1,436,2024-01-27,Completed,Net Banking
2,831,2024-01-26,Completed,Net Banking
3,2360,2024-01-22,Completed,Card
4,1375,2024-01-06,Completed,UPI
5,2267,2024-01-12,Completed,Net Banking
6,2590,2024-01-04,Completed,Card
7,735,2024-01-01,Cancelled,Net Banking
8,1950,2024-01-26,Completed,Net Banking
9,980,2024-01-14,Cancelled,Card
10,361,2024-01-20,Completed,UPI
11,787,2024-01-08,Completed,Card
12,1902,2024-01-08,Completed,UPI
13,612,2024-01-04,Completed,UPI
14,177,2024-01-22,Completed,Card
15,1857,2024-01-20,Completed,Net Banking
16,120,2024-01-26,Completed,Card
17,1717,2024-01-11,Completed,UPI
18,933,2024-01-11,Completed,Card
19,2397,2024-01-16,Completed,Card
20,730,2024-01-15,Completed,Net Banking
21,1105,2024-01-12,Completed,Net Banking
22,1907,2024-01-04,Completed,UPI
23,643,2024-01-20,Completed,Net Banking
24,941,2024-01-18,Completed,UPI
25,1896,2024-01-16,Completed,Net Banking
26,1779,2024-01-11,Completed,Net Banking
27,21,2024-01-29,Completed,UPI
28,1616,2024-01-17,Completed,Card
29,2288,2024-01-03,Completed,UPI
30,1212,2024-01-12,Completed,Card
31,2881,2024-01-06,Completed,Net Banking
32,568,2024-01-15,Cancelled,UPI
33,2570,2024-01-01,Completed,UPI
34,1106,2024-01-25,Completed,Net Banking
35,2542,2024-01-03,Cancelled,Card
36,1569,2024-01-04,Completed,UPI
37,2888,2024-01-18,Completed,Card
38,2211,2024-01-08,Completed,Net Banking
39,1445,2024-01-11,Cancelled,UPI
40,1415,2024-01-12,Completed,Card
41,2183,2024-01-22,Cancelled,UPI
42,1876,2024-01-29,Completed,Card
43,1131,2024-01-06,Completed,Card
44,2570,2024-01-31,Completed,Net Banking
45,1819,2024-01-14,Completed,Card
46,952,2024-01-28,Completed,UPI
47,2647,2024-01-21,Completed,Net Banking
48,1246,2024-01-15,Completed,UPI
49,1984,2024-01-08,Completed,Card
50,1868,2024-01-10,Returned,Card
51,2901,2024-01-06,Completed,Card
52,169,2024-01-04,Returned,UPI
53,2304,2024-01-07,Completed,UPI
54,2212,2024-01-15,Returned,Card
55,2046,2024-01-30,Completed,UPI
56,2238,2024-01-24,Returned,Net Banking
57,2350,2024-01-31,Completed,Net Banking
58,2997,2024-01-04,Completed,Net Banking
59,2530,2024-01-13,Completed,Card
60,800,2024-01-21,Completed,UPI
61,2206,2024-01-03,Completed,Card
62,2471,2024-01-11,Completed,Net Banking
63,1752,2024-01-23,Completed,UPI
64,2298,2024-01-15,Completed,UPI
65,2982,2024-01-06,Returned,UPI
66,353,2024-01-20,Completed,Net Banking
67,1540,2024-01-25,Completed,UPI
68,2910,2024-01-15,Completed,Card
69,2269,2024-01-10,Completed,UPI
70,1899,2024-01-24,Completed,Card
71,2608,2024-01-27,Completed,UPI
72,2818,2024-01-30,Completed,UPI
73,1482,2024-01-24,Completed,UPI
74,490,2024-01-27,Completed,Card
75,599,2024-01-02,Completed,Card
76,1480,2024-01-09,Completed,UPI
77,2170,2024-01-10,Completed,Card
78,685,2024-01-25,Completed,Net Banking
