session_id,customer_id,session_date,device_type,traffic_source
1,137,2024-09-04,Desktop,Facebook Ads
2,2398,2024-11-18,Tablet,Facebook Ads
3,2296,2024-06-30,Mobile,Facebook Ads
4,558,2024-05-25,Desktop,Organic
5,1206,2024-06-13,Tablet,Google Ads
6,729,2024-08-19,Tablet,Organic
7,2460,2024-04-05,Tablet,Google Ads
8,2797,2024-12-18,Tablet,Facebook Ads
9,977,2024-08-17,Desktop,Google Ads
10,2770,2024-07-06,Tablet,Organic
11,118,2024-08-21,Tablet,Facebook Ads
12,599,2024-04-20,Desktop,Organic
13,2566,2024-01-02,Desktop,Facebook Ads
14,2493,2024-02-13,Tablet,Facebook Ads
15,1954,2024-07-01,Mobile,Organic
16,2439,2024-03-08,Mobile,Google Ads
17,1610,2024-03-02,Mobile,Organic
18,1426,2024-02-06,Tablet,Facebook Ads
19,1937,2024-11-21,Mobile,Google Ads
20,841,2024-07-11,Mobile,Facebook Ads
21,209,2024-09-08,Desktop,Google Ads
22,871,2024-01-09,Mobile,Facebook Ads
23,2116,2024-05-04,Mobile,Google Ads
24,221,2024-12-27,Desktop,Facebook Ads
25,2095,2024-11-16,Mobile,Organic
26,1870,2024-12-14,Mobile,Google Ads
27,82,2024-05-12,Mobile,Organic
28,2177,2024-02-04,Tablet,Google Ads
29,1360,2024-07-27,Tablet,Facebook Ads
30,764,2024-04-03,Tablet,Google Ads
31,1922,2024-11-23,Mobile,Google Ads
32,1828,2024-03-04,Desktop,Facebook Ads
33,1710,2024-05-19,Desktop,Organic
34,1205,2024-05-05,Desktop,Organic
35,2298,2024-07-10,Tablet,Organic
36,1848,2024-09-27,Desktop,Organic
37,364,2024-07-09,Mobile,Organic
38,2410,2024-10-28,Mobile,Google Ads
39,2318,2024-12-20,Mobile,Facebook Ads
40,62,2024-06-22,Desktop,Google Ads
41,204,2024-09-01,Mobile,Facebook Ads
42,1057,2024-12-04,Desktop,Google Ads
43,2704,2024-08-30,Desktop,Google Ads
44,2788,2024-03-29,Mobile,Organic
45,1713,2024-05-27,Desktop,Organic
46,1346,2024-06-15,Tablet,Facebook Ads
47,1066,2024-04-03,Tablet,Organic
48,1800,2024-03-11,Tablet,Google Ads
49,221,2024-04-04,Desktop,Facebook Ads
50,262,2024-10-09,Desktop,Organic
51,2106,2024-01-16,Tablet,Organic
52,1437,2024-10-31,Desktop,Organic
53,1777,2024-02-08,Tablet,Google Ads
54,2604,2024-06-14,Tablet,Organic
55,522,2024-06-29,Desktop,Organic
56,1342,2024-05-14,Desktop,Google Ads
57,1732,2024-10-16,Desktop,Google Ads
58,308,2024-09-02,Tablet,Organic
59,1571,2024-09-06,Mobile,Facebook Ads
60,2693,2024-01-07,Tablet,Organic
61,41,2024-07-15,Mobile,Organic
62,2937,2024-06-24,Desktop,Google Ads
63,1187,2024-08-02,Desktop,Facebook Ads
64,361,2024-02-18,Tablet,Organic
65,2260,2024-04-01,Tablet,Facebook Ads
66,2858,2024-01-12,Tablet,Organic
67,1204,2024-12-03,Tablet,Facebook Ads
68,1861,2024-01-21,Tablet,Organic
69,828,2024-05-19,Tablet,Google Ads
70,1316,2024-04-08,Desktop,Organic
71,779,2024-08-20,Tablet,Organic
72,1775,2024-05-28,Desktop,Facebook Ads
73,1468,2024-12-08,Desktop,Organic
74,2667,2024-05-28,Tablet,Organic
75,1017,2024-02-04,Mobile,Organic
76,2262,2024-05-30,Desktop,Organic
77,2999,2024-07-31,Tablet,Google Ads
78,1576,2024-03-09,Mobile,Google Ads
79,898,2024-12-22,Mobile,Google Ads
80,1933,2024-03-30,Desktop,Google Ads
81,2975,2024-04-14,Tablet,Google Ads
82,2051,2024-07-28,Tablet,Facebook Ads
83,111,2024-07-27,Tablet,Facebook Ads
84,1100,2024-11-08,Mobile,Facebook Ads
85,2578,2024-09-18,Mobile,Facebook Ads
86,2487,2024-01-27,Desktop,Organic
87,1536,2024-11-13,Mobile,Google Ads
88,2416,2024-12-06,Mobile,Facebook Ads
89,425,2024-10-16,Desktop,Google Ads
90,2435,2024-05-04,Tablet,Facebook Ads
91,2656,2024-05-11,Tablet,Facebook Ads
92,892,2024-11-11,Desktop,Facebook Ads
93,2847,2024-11-29,Tablet,Facebook Ads
94,1862,2024-06-17,Tablet,Facebook Ads
95,2442,2024-05-08,Tablet,Google Ads
96,691,2024-02-01,Desktop,Organic
97,1943,2024-09-02,Desktop,Facebook Ads
98,1582,2024-12-01,Mobile,Google Ads
99,2678,2024-01-17,Tablet,Organic
100,1729,2024-10-11,Desktop,Organic
101,2080,2024-02-09,Desktop,Facebook Ads
102,2524,2024-07-28,Desktop,Organic
